shash,genre,years,alt,heading,text
236c065fd9611f95,belonging_dei,"2021,2022",0.166,"Building diversity, equity, and inclusion into our workplace, products, and programs is at the heart of creating a more helpful Google for everyone. When we get this right, we ensure that everyone feels like they belong at Google and beyond.",And we’re excited to build on the goals we’ve set for ourselves such as increasing representation of underrepresented groups by 30% by 2025 and expanding hiring in cities that contribute to a high quality of life for Black+ Googlers all over the world.
1bd145165c9a7359,belonging_dei,"2022,2023,2024,2025",0.166,Pushing for more authentic representation of people with disabilities,Representing people with disabilities authentically and with respect for their full identities is an essential part of building more disability inclusion in the world.
fed58687abf8e910,belonging_dei,2025,0.166,Fostering community and belonging for LGBTQ+ Googlers and allies through employee resource groups,"Since the very beginning, we’ve worked together to make Google a place where LGBTQ+ communities feel welcome and respected – wherever they are in the world."
b4c2f483cf63ed86,belonging_dei,"2022,2023,2024,2025",0.165,Boosting support for spaces of belonging through Google tools and technology,We’re working to celebrate and protect these spaces through our tools.
23bc6302adf269d9,belonging_dei,2025,0.165,"Creating more diverse leadership teams, including historically underrepresented groups, together","In 2020, Google announced a commitment to improve leadership representation of underrepresented groups."
25861477230556cd,belonging_dei,"2022,2023,2024,2025",0.163,Celebrating the impact of the Asian American and Pacific Islander community,We’re celebrating this community for Asian American Heritage Month and beyond through storytelling and initiatives to uplift AAPI small business owners and creators.
44e04a5e855233c4,belonging_dei,2017,0.162,"In 2015, we moved in the right direction.","We’re still not where we want to be when it comes to diversity, but last year, we made progress in our efforts to build a more diverse Google."
68792c111dc6e1e7,belonging_dei,"2018,2019",0.161,Investing in tomorrow’s talent,"This year, in line with our efforts to support the Latinx community, we’re delighted to expand our Google in Residence program to include HSIs."
082bf33f770b700e,belonging_dei,"2018,2019",0.160,Conclusion,"It’s also why we are all committed to accelerating progress, generating equitable outcomes, and ensuring our culture is supportive for everyone."
0a83377803eb2210,belonging_dei,"2018,2019",0.160,Intersection of race and gender,We hope that increased transparency drives change.
98277383b245f467,belonging_dei,"2018,2019",0.160,From unconscious bias to conscious action,We will continue this work to support a fair and equitable Google.
3e5f18fe9dedba13,belonging_dei,"2018,2019",0.158,From unconscious bias to conscious action,This set the stage for our work to increase racial and social equity across Google in 2018.
3c183ccd56019b17,belonging_dei,"2022,2023",0.158,"In a world where everyone belongs, anything is possible.",But we can generate equitable outcomes and give everybody a level playing field.
5183529025304e08,belonging_dei,2025,0.158,"Creating more diverse leadership teams, including historically underrepresented groups, together","We met that goal in 2022 and will continue to build diverse representation, including underrepresented groups, to reflect the diversity of the world around us."
c6587425e5af4ebd,belonging_dei,"2018,2019",0.157,Investing in tomorrow’s talent,"In 2018, we are extending this opportunity to more scholars and faculty to include additional HBCUs and Hispanic-serving Institutions (HSIs)."
2f5d48bbd07c46e0,belonging_dei,"2020,2021,2022",0.155,Build For Everyone,"Google is committed to continuing to make diversity, equity, and inclusion part of everything we do—from how we build our products to how we build our workforce."
5213266880d74678,belonging_dei,2025,0.155,Supporting women in the global technology industry with mentorship and community resources,Shifting the global landscape of work for women and girls is a critical part of how our company – and the tech industry overall – can reach its representation goals.
542647786a6be81d,belonging_dei,"2021,2022",0.154,2020 was a year of challenges that had a profound impact on how we work and live.,"Violent and racist attacks against Asian, Black, and Latinx communities forced the world to reckon with its historic injustices."
85c2827a40ffdb64,belonging_dei,2022,0.154,Our work to support the Asian American Pacific Islander community,"In honor of Asian Pacific American Heritage Month 2021 , we set out to celebrate the rich history of the AAPI community through storytelling and initiatives, including a growing hub , made with help from more than 48 Google Arts & Culture partners, dedicated to Asian American and Pacific Islander experiences ."
6a899b728f16aa90,belonging_dei,2025,0.154,"Melonie Parker, Google employee’s quote","“To build products that help billions of people reach their goals, we’re bringing together talented people from everywhere and empowering them to do their best work.” MELONIE PARKER VP, Googler Engagement “To build products that help billions of people reach their goals, we’re bringing together talented people from everywhere and empowering them to do their best work.” MELONIE PARKER VP, Googler Engagement"
3c906fa884c4f1f0,belonging_dei,"2020,2021,2022",0.152,Build For Everyone,"Operating at this scale brings an elevated level of responsibility to everything we do—including a workforce that's more representative of our users, and a workplace that creates a sense of belonging for everyone."
d23767c6cf26ff62,belonging_dei,"2021,2022",0.152,From awareness to action,"Going forward, we will continue to transparently share our data and progress, and we encourage all companies to do the same."
522d7c6d2edbd43f,belonging_dei,"2022,2023,2024,2025",0.152,Boosting support for spaces of belonging through Google tools and technology,"For LGBTQ+ communities, spaces to belong make a big impact – they’re places of validation, safety, community, and joy."
597cbfa3049aac07,belonging_dei,"2018,2019",0.151,3. Overarching strategy,"We are determined to change our workforce representation numbers, because they reflect the career prospects of real people: Googlers and future Googlers, students, communities, and families."
78152fed52276fa6,belonging_dei,2018,0.151,Our accelerated approach to diversity and inclusion,"When we say we want to build for everyone, we mean everyone."
9b8f3b4188b3e4f4,belonging_dei,"2019,2020",0.151,Google diversity annual report 2019,"When we say we want to build for everyone, we mean everyone."
e6a2777b8d62d4bd,belonging_dei,"2021,2022",0.151,Why is belonging important at Google?,"But if we can begin to listen to each other and hear each other, and then to think about what can we do in terms of our structures, our products, our policies, to actually make this future real?"
0d85856361764cea,belonging_dei,"2022,2023,2024,2025",0.150,Pushing for more authentic representation of people with disabilities,"With the help of LaVant Consulting, we are featuring stories that show how people in the disability community are driving accessibility in the world."
ef921da8866f4d7c,belonging_dei,2012,0.149,Life at Google,"Take me to Life at Google At Google, we don’t just accept difference - we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community."
f57b5afff83fcb72,belonging_dei,"2018,2019",0.149,Investing in tomorrow’s talent,We also invest in future tech talent in under-represented communities.
0acdfc1b6e24b723,belonging_dei,"2018,2019",0.148,Conclusion,"Success is never guaranteed, but this work is fundamental to Google’s mission, and tens of thousands of Googlers are passionately committed to it."
8ee916b3a8cb88c5,belonging_dei,"2021,2022",0.148,Why is belonging important at Google?,"john : When we think about it, everyone has a sense of belonging whether it’s to a family or a community or a church, a synagogue, a mosque, but oftentimes it’s predicated on the notion that we belong and those people don’t."
d77a1f6d96893160,belonging_dei,"2019,2020",0.147,What would it take (for tech to reflect its consumer base)?,"Improving pathways to tech We are building a workforce that reflects the varied backgrounds, communities, and mindsets of our users, and we focus on finding future employees who have been historically excluded from the tech industry."
0115e560806ad7dc,belonging_dei,"2021,2022",0.147,"Building diversity, equity, and inclusion into our workplace, products, and programs is at the heart of creating a more helpful Google for everyone. When we get this right, we ensure that everyone feels like they belong at Google and beyond.","This means mobilizing every aspect of the company — from doubling down on the successful changes we’ve made to hiring, to creating a stronger culture of belonging, to continuing to build products and invest in communities in ways that are truly helpful — in order to drive meaningful and lasting change for everyone."
41d84252815caec0,belonging_dei,2023,0.147,Explore more of our belonging work,We’re making promising momentum on our workforce representation goals and helping Googlers everywhere thrive.
9a2044c70adb63e2,belonging_dei,"2021,2022",0.146,From awareness to action,Racial equity commitments launch to build sustainable equity for Google’s Black community and make our products and programs helpful to Black users.
056240ae14ef75e1,belonging_dei,2017,0.145,,"“A diverse mix of voices leads to better discussions, decisions, and outcomes for everyone.”"
b2babea9564bc37a,belonging_dei,"2022,2023,2024",0.145,Our progress toward gender equity in our workplace,"We’re cultivating community through conferences like Transcend , our first Women of Color Summit, and through our employee resource groups (ERGs) like Women@Google and Trans at Google."
de083caf023adb9b,belonging_dei,2025,0.145,Advancing gender equity in our workplace for Googlers around the world,"We’re cultivating community through conferences like Transcend , our first Women of Color Summit, and through our employee resource groups (ERGs) like Women@Google and Trans at Google."
6aeac3b868d1d762,belonging_dei,"2013,2014,2015,2016",0.144,Life at Google,"At Google, we don’t just accept difference - we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community."
e44694ff448d4566,belonging_dei,"2019,2020",0.144,What would it take (for tech to reflect its consumer base)?,We want to encourage a holistic response to an industry-wide challenge.
66987603213e4cf4,belonging_dei,"2017,2018",0.143,Building a Google that works for everyone,That’s why we continue to support efforts that fuel our commitments to progress.
14952d5628c5fce4,belonging_dei,2025,0.143,Supporting women in the global technology industry with mentorship and community resources,"We’re investing in programs to help women build community, support one another, and harness the power of mentorship – so that when women start careers in tech, they’re also able to stay in those careers."
b717b36b3e4951bb,belonging_dei,"2019,2020",0.142,What would it take (for tech to reflect its consumer base)?,"We also offer the Google in Residence program, where Google volunteers are embedded in 13 HBCU and HSI campuses to teach a computer science curriculum."
a611e081cb51e009,belonging_dei,"2022,2023,2024,2025",0.142,Celebrating the impact of the Asian American and Pacific Islander community,"Here are a few highlights from recent years: Our Asian Pacific American Cultures hub , made in partnership with more than 48 Google Arts & Culture partners, is a growing platform created to celebrate the rich history of the AAPI community and to honor Asian American and Pacific Islander experiences ."
c76472b829509110,belonging_dei,2019,0.141,Our accelerated approach to diversity and inclusion,Google is committed to creating a diverse and inclusive workforce.
1654fe0c721097ad,belonging_dei,2020,0.141,"Making progress on diversity, equity, and inclusion",Google is committed to creating a diverse and inclusive workforce.
ad26d691cb11c04e,belonging_dei,"2021,2022",0.141,"Building diversity, equity, and inclusion into our workplace, products, and programs is at the heart of creating a more helpful Google for everyone. When we get this right, we ensure that everyone feels like they belong at Google and beyond.","In addition to this report, we will share regular progress with Alphabet’s board through transparency reports covering representation, hiring, retention, performance, and promotion equity. 2020 has left us more committed than ever to creating a workplace and world where we all feel a sense of belonging."
7bd4920d8d196f26,belonging_dei,"2018,2019",0.140,From unconscious bias to conscious action,"While Google’s benefits for women are best-in-class, the stereotypes they face in the media, playground, classroom, and at home remain a barrier."
310a0498a32e0e95,belonging_dei,"2022,2023,2024,2025",0.140,Supporting the mental well-being of service members and Veterans through technology and resources,"We are committed to supporting Veterans in mental wellness and recovery, and focusing on creating helpful tools and resources: 1 in 14 Americans is in recovery from addiction."
7411f40b4969c7e1,belonging_dei,2025,0.140,Advancing gender equity in our workplace for Googlers around the world,"Through programs and partnerships, we’re working toward gender parity at all levels – both at Google and across the tech industry."
9e188d7e85cd7d3a,belonging_dei,"2019,2020",0.139,Community inclusion,"We’re hosting a second, expanded State of Black Women Summit in 2019, and applying what we learned to create a Latina summit later this year."
a676490d3ed18abe,belonging_dei,"2022,2023",0.139,"In a world where everyone belongs, anything is possible.",PERNELL CEZAR: We have a role and requirement to do right by the communities that we come from.
adf2d4f8ecb2f67b,belonging_dei,"2022,2023,2024,2025",0.139,How we’re making progress on our representation goals,"As of 2021, we've reached our goal of improving leadership representation of Black+, Latino+, and Native American+ Googlers by 30% , and we're on track to double Black+ representation throughout our U.S. offices by 2025."
79f51e9f82d0fdd2,belonging_dei,2025,0.139,Shifting the story about how disabled people are represented in marketing and media,Actress and advocate Selma Blair with disability inclusion expert Andraéa LaVant We’re working with the disability community to improve the quality of disability representation across marketing and media by leading the way and showing how it’s done.
7c1e457597d64fe7,belonging_dei,"2018,2019",0.138,Google diversity annual report 2018,"While we’re moving in the right direction, we are determined to accelerate progress."
caabfcd3dfef1cfe,belonging_dei,2019,0.137,Our accelerated approach to diversity and inclusion,"We aim to create a workplace that celebrates the diversity of our employees, customers, and users."
bdf4b3d880f486fe,belonging_dei,2020,0.137,"Making progress on diversity, equity, and inclusion","We aim to create a workplace that celebrates the diversity of our employees, customers, and users."
52542116f64a6d15,belonging_dei,"2018,2019",0.136,Investing in tomorrow’s talent,"So we are also deepening our relationships with Historically Black Colleges and Universities (HBCUs) in the U.S., and extending our programs to the Latinx community."
dee99e2ee286d4f9,belonging_dei,"2019,2020",0.136,A quick note about our methodology,We look forward to improving this data collection so in future we’ll have a more inclusive representation of gender.
70879cfa6971ed66,belonging_dei,2017,0.135,Inclusion,We’re ensuring Google continues to be a fair and inclusive place to work for everyone.
6b5e12c45ec54d28,belonging_dei,"2018,2019",0.133,From unconscious bias to conscious action,"So we’ve designed and implemented a series of interactive learning labs, with the aim of expanding racial awareness and explaining the impact of stereotypes for all Googlers from all backgrounds."
a65db822c6f2d6bf,belonging_dei,"2018,2019",0.132,3. Overarching strategy,"Endeavor to attract, develop, progress, and retain more underrepresented talent at all levels of Google’s workforce, reaching or exceeding the available talent pool."
d038fb9e9b4cd0df,belonging_dei,"2018,2019",0.132,"2017 attrition index by race/ethnicity, U.S.",So we are accelerating efforts to ensure all Googlers—and in particular those from underrepresented groups—experience Google as an inclusive workplace.
afb71e8836281b4b,belonging_dei,"2018,2019",0.131,Intersection of race and gender,We are also using this opportunity to represent the experience of multiracial individuals.
9807409202f3f1c7,belonging_dei,2019,0.130,Fostering inclusion for all,"Last year over 5,100 Googlers participated in Google’s annual global Accessibility Week."
d7d91a53ecd130dd,belonging_dei,"2019,2020",0.130,Google diversity annual report 2019,We are committed to a set of goals to increase workforce representation and to create a more inclusive culture.
bbca63052f15bd02,belonging_dei,"2018,2019",0.128,Google diversity annual report 2018,We care deeply about improving workforce representation and creating an inclusive culture for everyone.
f78dc0259f269b1f,belonging_dei,"2023,2025",0.128,Ensuring equity in benefits and healthcare for LGBTQ+ Googlers,We are working to ensure that all Googlers have access to the health resources they need.
eb389ee356542872,belonging_dei,"2019,2020",0.127,What would it take (for tech to reflect its consumer base)?,Google Sandbox connects people from underrepresented communities to career opportunities at Google.
9294989d3234d79b,belonging_dei,"2019,2020",0.127,Conclusion,"Our results in diversity, equity, and inclusion don’t yet match our ambitions."
2f78eb221a742efa,belonging_dei,"2019,2020",0.127,3. Leadership accountability matters,"Progress accelerated this past year, in part because Google's leaders share responsibility for a company-wide goal to foster a representative and inclusive workplace for everyone."
dc9e0c8e31d2bd9b,belonging_dei,"2018,2019",0.126,Fostering inclusion for all,"Here are just a few highlights: Disability Alliance DA promotes awareness of disability, special needs, and neuro-diversity."
1be0f8223ca76b32,belonging_dei,"2019,2020",0.126,Community inclusion,"These principles build on our ongoing commitment to a diverse and inclusive workplace for all, as well as support for education and economic opportunity for women globally."
48c324fac581d648,belonging_dei,"2019,2020",0.126,Employee Resource Groups,HOLA (Hispanic Googlers Network) HOLA (Hispanic/Latinx Opportunities in Leadership and Advocacy) is a community of employees across 24 countries who pursue their passions with an intention of making an impact on the Latinx+ community.
c43f9f8275f9a253,belonging_dei,"2019,2020",0.125,3. Leadership accountability matters,"Before we dive into the data, we want to take a moment to thank the thousands of employees who champion this work and help make meaningful progress towards a more representative and inclusive workplace."
feebf06b377d12af,belonging_dei,2018,0.124,Fostering inclusion for all,"Last year over 1,100 Googlers participated in Google’s annual global Accessibility Week."
502f60087755ce51,belonging_dei,"2022,2023,2024,2025",0.124,Our progress toward gender equity in our workplace,That’s why we’re focused on ensuring fairness throughout the employee lifecycle to help women and gender-expansive people thrive.
aa8a9d4397ad8b9c,belonging_dei,"2019,2020",0.123,Employee Resource Groups,"Women@ Women@ is a global network of more than 15,000 members committed to advancing gender equity at Google and in our world."
16b37be356af6a05,belonging_dei,"2021,2022",0.123,Why is belonging important at Google?,"And so what we’re talking about is belonging without othering, where people belong at multiple levels, but everyone belongs and so no one is other."
7240eed81fd924f0,belonging_dei,"2018,2019",0.122,3. Overarching strategy,"Ensure Google is a workplace where every employee feels welcomed, respected, supported, and valued."
c8cb89e1228bbcc5,belonging_dei,"2019,2020",0.122,Community inclusion,"We more than doubled our global women-focused leadership events for International Women’s Day, bringing more than 300 women leaders together across six events."
156173ee95b23282,belonging_dei,"2018,2019",0.121,Investing in tomorrow’s talent,We’ve made huge strides in improving the diversity of early pipeline talent.
7136213f82620844,belonging_dei,"2019,2020",0.120,1. Systemic change is sustainable change,"Only a holistic approach to these issues will produce meaningful, sustainable change."
bc2990fbef21abca,belonging_dei,"2021,2022",0.119,2020 was a year of challenges that had a profound impact on how we work and live.,"Hear from our Chief Diversity Officer, Melonie Parker; Vice President of Global Sales, Pedro Pina; and University of California at Berkeley’s Director of the Othering & Belonging Institute , john a. powell, on the unique challenges of 2020 and how we’re taking decisive action to make diversity, equity, and inclusion part of everything we do."
5522221620ae387e,belonging_dei,"2019,2020",0.118,Community inclusion,We decided to invite all Black+ women employees from around the world to meet at our headquarters for a State of Black Women Summit.
2d027cf39cdb373b,belonging_dei,"2022,2023,2024",0.118,Our progress toward gender equity in our workplace,"We’ve engaged over 4,000 Google managers and leaders in #ItsUpToMe, an internal allyship campaign to hold them accountable as they craft and reach our diversity, equity, and inclusion goals."
943acfa9be7fc53d,belonging_dei,2025,0.118,Advancing gender equity in our workplace for Googlers around the world,"We’ve engaged over 4,000 Google managers and leaders in #ItsUpToMe, an internal allyship campaign to hold them accountable as they craft and reach our diversity, equity, and inclusion goals."
0fc25860e829fef8,belonging_dei,"2019,2020",0.117,Community inclusion,"On International Women’s Day this year, 120 Women@Google global chapters from 52 countries engaged tens of thousands of employees to discuss career development and programs to improve our culture."
3033cf35d0b74a8b,belonging_dei,"2019,2020",0.116,What would it take (for tech to reflect its consumer base)?,"This course specifically targets young people from underrepresented communities in tech and has welcomed more than 1,600 students over the past 11 years. 92% of the most recent cohort identified as Black+, Latinx+, or women."
5895e1c1dcc476db,belonging_dei,"2018,2019",0.115,Investing in tomorrow’s talent,"Overall, in 2017, we welcomed 96 students from HBCUs to Google, up from 14 students in 2014."
49076699894971ff,belonging_dei,"2018,2019",0.115,3. Overarching strategy,"Third, we are taking a more systemic approach to improve outcomes in workforce representation, and to create an inclusive culture."
992338cff91240c3,belonging_dei,"2018,2019",0.115,Hiring,"There are modest but hopeful signs of success in hiring, where our focus is on reaching greater workforce representation of women globally, and for Black and Latinx Googlers in the U.S."
1ba866448cf2e6a7,belonging_dei,"2018,2019",0.114,Intersection of race and gender,"We want to understand everyone’s experience, including those likely to face the greatest disadvantage."
ecbe661fafc54c7d,belonging_dei,"2019,2020",0.114,Community inclusion,"Intersectionality: The State of Black Women Summit When we reviewed last year’s representation data intersectionally, in combination with employee sentiment, we saw Black+ women were not experiencing Google as positively as other groups."
78dcf27069c3318d,belonging_dei,2007,0.113,,"Googlers are bright, passionate people with diverse backgrounds, coming together to create a unique culture."
d523fd9aedb734a1,belonging_dei,"2021,2022",0.113,From awareness to action,"A few years after our founding we began to focus on finding solutions to the longstanding challenges of diversity, equity, and inclusion (DEI) in the workplace."
a799f55a836873f4,belonging_dei,"2019,2020",0.112,What would it take (for tech to reflect its consumer base)?,These are just some of the investments Google makes to increase access and opportunity for those from backgrounds that have historically been excluded from the tech industry.
09e43a26eb6bab8f,belonging_dei,"2021,2022",0.112,From awareness to action,"Today, we publish one of the largest sets of diversity data in the industry and transparently share our learnings with the world."
deb757cd069f2078,belonging_dei,"2019,2020",0.111,Community inclusion,"Our Women@Google Employee Resource Group also runs mentorship programs, community-building events, and speaker series to create visibility and inspire female role models."
45c2cc3e952ef394,belonging_dei,"2021,2022",0.111,What has Google learned?,"We have to be systemic in the way we address systemic issues, and that’s why I think this is a long process."
33380e9f3ba173b2,belonging_dei,"2022,2023,2024,2025",0.111,Pushing for more authentic representation of people with disabilities,"We worked with Disability:In to create specific guidelines for eliminating stereotypes in representations of people with disabilities , and share these insights in the hopes of driving progress in the industry overall."
7c88cd73406053ad,belonging_dei,"2019,2020",0.110,Community inclusion,"At Google, we want to help celebrate the spaces and businesses that are accepting of their customers, regardless of sexual orientation or gender identity."
95b8d1ea02c2d32c,belonging_dei,"2019,2020",0.110,Community inclusion,Community inclusion is the work of building strong networks that help all communities thrive both inside and outside Google.
8b7f92dfe43667db,belonging_dei,"2021,2022",0.110,What has Google learned?,"Systemic biases and systemic racism manifest not in so much big moments, but also in small moments."
99f856bf335e3c1d,belonging_dei,"2022,2023,2024,2025",0.109,Celebrating the impact of the Asian American and Pacific Islander community,We worked with Gold House to help launch its A100 list of the most impactful AAPI talent with a film highlighting search trends like “Asian representation.” YouTube’s Asian Pacific American Heritage Month playlist features videos from Asian and Pacific Islander creators and artists.
3ace3557661df10d,belonging_dei,2025,0.108,Driving groundbreaking research,We’re working with experts and researchers with deep expertise and cultural context of the communities we’re designing for.
09b59d1ecad97e7d,belonging_dei,"2019,2020",0.106,1. Systemic change is sustainable change,"We must continue our work to expand the talent pool externally, and improve our culture internally, if we want to create equitable outcomes and inclusion for everyone."
8d4aadbbf869224b,belonging_dei,"2021,2022",0.106,2020 was a year of challenges that had a profound impact on how we work and live.,"This report details five key insights we’ve realized this year — successes and challenges — and the concrete actions we’re taking to build diversity, equity, and inclusion into everything we do."
d73a9af27d9c50a1,belonging_dei,"2022,2023,2024,2025",0.106,"How we’re working to better recruit, hire, and co-create with Googlers with disabilities","Here are a few ways we’re doing it: Launched a new careers site to better recruit people with disabilities, including information about workplace accommodations Created a training on Disability Fundamentals for managers at Google, then partnered with Disability:In to make the course available to their partner companies."
ce211974f1b05bc8,belonging_dei,"2022,2023,2024,2025",0.106,"How we’re working to better recruit, hire, and co-create with Googlers with disabilities","Cultivating community through Disability Alliance , our internal employee resource group (ERG), which was named ERG of the Year 2020 by Disability:IN Joined the Valuable 500 as one of 14 iconic companies, working to “co-create solutions which will transform the business system to be more inclusive of people with disabilities.”"
dc6a24af5b83051d,belonging_dei,2023,0.105,"In a world where everyone belongs, anything is possible.","We’ll learn lessons, which we can then combine to build something that really works for everyone."
2ee501db785d8fc1,belonging_dei,"2019,2020",0.104,Business & product inclusion,"When communities are underrepresented in our workforce, they can be underserved by our products."
